BEZEICHNUNG_OFFIZIELL;geopos
Essence EP Tamoil Belprahon;47.2793842534,7.40404335778
13 EP Buchard Ayent;46.279025503,7.41020572117
Bern Weyermannshaus;46.9473200143,7.4109199738
Enge im Simmental;46.6474800394,7.41762999137
Bern, Fischermätteli (Wds);46.9408265158,7.41953633134
Bern JKLM;46.9482399824,7.42890004087
Bern Haslerstrasse 30;46.9453254623,7.43000301713
Crémines;47.2855699585,7.43531997271
Bern Hochschulstr 6 Gebäude V;46.9501562437,7.43699045057
Bern, Wallgasse (Vzw);46.9463962884,7.43907909298
St-Léonard Section Protection;46.2593558688,7.44282047474
Scolaire Lens;46.2814398762,7.44731647915
Leuzigen;47.177850016,7.44858004143
Essence EP Jubin Courchapoix;47.3485206441,7.45005215216
Münchenbuchsee;47.0213700195,7.45194998337
Rodersdorf (Wds);47.4812962759,7.45958499976
Zollikofen [Gleis 21-22];47.0019119197,7.46273284657
Zollikofen;47.0018200439,7.46291004934
Zollikofen Schaltposten;47.0124087146,7.46492046752
Gänsbrunnen;47.265460037,7.46519994141
Bern Wylerfeld Unterwerk;46.9673340796,7.46556933411
Zollikofen Nord (Abzw);47.0076799678,7.46588002337
Kehrsatz Nord;46.9158300355,7.46610995402
Rütti (Abzw);46.9899799873,7.46616002601
Pramont;46.2679899755,7.46780005833
17 EP Tobler Vermes;47.3297273498,7.47038196324
Wankdorf (Abzw);46.9653200057,7.47214000144
Kehrsatz;46.9088199611,7.47236001263
Corban, école;47.34833545,7.47495859619
Ostermundigen Poststrasse 6;46.9571552785,7.48299801225
Metschstand (Metschmaad);46.4444542646,7.49501498525
Schönbühl RBS;47.0204799623,7.4978099861
Laufen;47.4193399787,7.50263997948
Fraubrunnen;47.0864499955,7.52216003461
Ringoldingen;46.6575000066,7.52462996973
Lohn-Lüterkofen;47.1629900195,7.52696003304
Seftigen;46.7868399687,7.54028995192
Solothurn;47.2041799995,7.54269000515
Chrindi (Stockhorn);46.6837846162,7.5423166705
Adelboden Rehärtli (Eselmoos);46.4835151425,7.54353853714
Boll-Utzigen;46.9536100438,7.54729005535
St. Katharinen;47.2161099887,7.54978998508
Wiler;47.1521100163,7.55597001505
Basel, Burgfelderhof Wds Nord;47.5730467141,7.55760751642
26 PU Flury Balm;47.2530359981,7.55949384966
Aefligen;47.0955000464,7.55950997289
Münsingen;46.8733400313,7.55942998197
Adelboden Dorfstrasse 4;46.4938524719,7.56033485212
Basel, Depot Allschwilerstr.;47.5567598867,7.56542334601
Wichtrach Schutzstrecke;46.8564296917,7.56436160889
Basel Grenze (FR);47.5775600096,7.56759994698
18 Garage Worb, Worb;46.9239368126,7.56630587629
18 PU Eurobus, Krauchthal;47.0106412942,7.56712963157
Emmetunnel NBS;47.0794122109,7.57087236153
Basel St. Johann;47.5702999801,7.57252995256
Kirchberg-Alchenflüh;47.0834899713,7.58015003636
Oey-Diemtigen;46.6599799739,7.57931996958
Lyssach;47.0637600384,7.58131999896
Basel Margrethenbrücke;47.5482299299,7.5841599982
Basel, Heuwaage (Vzw);47.5510769333,7.5873427771
Basel SBB Gleise 30-35;47.5479378859,7.58752001305
Basel, Schifflände Ost (Vzw);47.55996212,7.58783255488
Basel, Barfüsserplatz West;47.5541962377,7.58853386172
Basel, Hauptwerkstätte BVB;47.5745197464,7.59029210154
Basel, Depot Wiesenplatz;47.5776646989,7.59245422303
Müllheim (Baden);47.8097445451,7.59933354741
Uetendorf Unterwerk;46.7724077039,7.5976054003
Basel SBB GB Stw 3 (Do67);47.5429830185,7.60048330362
Basel, Jakobsberg (Vzw);47.5322880685,7.60143360997
Basel Bad Rbf;47.5852624699,7.60412733159
Weil am Rhein Landesgrenze;47.5839614413,7.60470180127
Burgholz;46.6664799745,7.60558005549
Chandolin (Rotsé aval);46.2476219331,7.60470325167
Basel Dreispitz;47.5378600423,7.60895002586
Burgdorf Buchmatt;47.0653799945,7.60822000532
Basel, Dreispitz Kantonsgrenze;47.5356122105,7.6101824816
18 Extern Busland Burgdorf;47.0656444285,7.60933084661
Haltingen Unterwerk (DB);47.6057610517,7.61151193972
Basel SBB GB VL;47.5389200208,7.61262005503
Burgdorf Unterwerk;47.0621873291,7.61136021921
Deitingen Unterwerk;47.219092319,7.61206281027
Tankstelle Nunningen;47.3959221718,7.61514552425
Basel, Eglisee (Vzw);47.5704079197,7.61691251397
Weil am Rhein Gartenstadt;47.5887185433,7.61722631842
Basel, Eglisee (Wds);47.5708832985,7.61775134698
Münchenstein;47.5133799542,7.61760001709
24 Garage Nunningen;47.3921400859,7.61808668142
24 PU Wohlgemuth Nunningen;47.3921489982,7.6181396912
Basel St. Jakob;47.5426000003,7.61953005552
Deitingen;47.2182199828,7.61891003489
Oberdiessbach;46.839529979,7.61805005835
Zinal, téléphérique;46.1382317667,7.62445503801
Thun;46.7548499967,7.62959999473
Thun Schadau;46.7470499819,7.63102992817
Grenzach Landesgrenze;47.5637308256,7.63597148664
Thun (Eigentumsgrenze);46.7503499548,7.63300997104
Hersiwiltunnel NBS;47.1693568837,7.63667278199
Bickigen (B);47.0605999543,7.64194004074
Basel SBB RB;47.5363499568,7.64639005269
Sk Susten, Depot LLB;46.3122223415,7.6421917058
Hünibach, Riedstrasse 24;46.750384322,7.64444546327
Hünibach, Wartbodenstrasse 1;46.7503621949,7.6467356458
Riehen;47.5832003236,7.65230052425
Frutigen Süd (Abzw);46.5829399725,7.65010004285
Lattigen bei Spiez;46.6911799784,7.65059000939
Frutigen;46.5887700213,7.65160005772
Lörrach Landesgrenze;47.5948922839,7.65702747982
Blindleistungskompensator 4;46.6811868909,7.65636441133
Basel Auhafen;47.5386500397,7.66200999864
Oberbipp;47.2596400025,7.66098003724
BZ Mitholz Ost (LBT);46.5133884991,7.65827227652
Lörrach Hbf;47.6137906043,7.66499211031
Zäziwil;46.8997400015,7.66288001277
Kandergrund;46.5574000465,7.66267004023
Oberbipp Weiche 21 (AnG);47.2612362607,7.66671375126
24 PU Wohlgemuth Büren;47.4482892699,7.66985264595
Oberhofen a. T., Tannacker 2;46.7362263706,7.66765467023
Oberhofen a. T., Allmendweg 5;46.7345528317,7.6678438406
Oberhofen a. T., Aebnitstr. 17;46.7335353277,7.66834977539
Basel SBB RB II Ost (Abzw);47.5264599792,7.67381995575
Grubi (Spw);46.5296699816,7.6708000248
Basel SBB RB I (Abzw);47.5247499682,7.67814000232
Blausee Zement;46.5300438266,7.67409765107
Kandersteg Unterwerk;46.5026425475,7.6743697698
Pratteln Ueberwerfung;47.5233499797,7.67909993342
Büel (Spw);46.5052099697,7.67525000225
Felsenburg;46.5315399964,7.67573994375
Heustrich-Emdthal;46.6522099811,7.68475003599
Niederbipp [Gleis 11-12];47.2702532632,7.69467488895
Niederbipp Dorf;47.2658199715,7.69513996149
Wanzwil (Abzw);47.1982400046,7.69921993128
Bowil;46.9000399618,7.6980500348
Faulensee;46.673759975,7.69790995758
Niederbipp Industrie;47.278640013,7.703170058
Pratteln Buholz;47.5218189621,7.70803193814
Holzhäusern;47.2581600166,7.71040000056
Bern ERZ2;47.2925555413,7.71600009989
Faulensee, Möve (BLS);46.6681659958,7.71916634943
Kaiseraugst;47.5384900201,7.72413003985
22 Garage Aeschi, Kiental;46.58690418,7.72464345477
Sk Gampel, OpenAir;46.3130375615,7.73009485009
Klein Matterhorn (3-S);45.9388322718,7.72923355853
Ferden (Spw);46.4029400393,7.73725994242
Ferden Ost BZ Alptransit;46.4028217419,7.73770635095
Krattighalde;46.6625600458,7.73952993205
Altmarkt;47.4764099736,7.74471995981
Thunstetten Ost;47.2162973708,7.7485166621
Niederdorf;47.4043899938,7.75185995591
Burghof;47.0309176414,7.75956479331
Hölstein Weidbächli;47.4188299791,7.76348002602
Lausen Ost;47.4699217289,7.76806988793
Hölstein Süd;47.4229700236,7.76780997801
Beatenberg (Niederhornbahn);46.6906332392,7.76546860006
Hohtenn;46.3226100177,7.76453998008
Oberbuchsiten;47.3052400265,7.77172005638
Aarwangen Vorstadt;47.2374899579,7.77131000097
Sk Garage, Kippel;46.3977876398,7.76850397956
Stafel (Lauchernalp Bergst.);46.4149419242,7.76911827913
Langenthal Süd;47.2053600335,7.78022003599
Langenthal [Gleis 4-5];47.2176343004,7.78449924927
Langenthal Ost;47.2285569702,7.78647123811
Kleindietwil;47.146299972,7.79096993238
Dürrenroth;47.0912046187,7.79260135576
Gutenburg;47.1815699712,7.79327003089
Blauherd (Talst. Unterrothorn);46.0170679849,7.78580106654
Zermatt Gant (Hohtälli);46.0090205551,7.787557419
Mumenthal Brunnmatten;47.2402625826,7.79708678631
Mattsand;46.1432100342,7.79272001778
Tankstelle Magden;47.530084814,7.80465041658
Lötschberg-Basistunnel;46.3255933803,7.79968814243
Unterrothorn (Kumme);46.0209514276,7.79813134332
Zermatt Hohtälli (Rote Nase);45.9887155669,7.80244944986
Hägendorf Baudienstwerkstätte;47.3251888814,7.82519795533
Kipfen Ost;46.2045300023,7.8252100133
Herten (Baden);47.9978873183,7.84134081478
Fahrnau (D);47.6614727675,7.83914809985
St. Urban;47.2317599514,7.83596004893
St. Urban Ziegelei;47.2273199821,7.83606006344
Raron Betriebszentrale Ost;46.3092466795,7.83256473194
Hausen-Raitbach (D);47.6795348205,7.84599617901
Huttwil;47.1145900147,7.84273000766
14 PU Zerzuben Grächen;46.1995317913,7.83732504119
Zell i.W.;47.7056224976,7.84915436451
St. German (Abzw);46.3061600077,7.84409000057
Läufelfingen ob. Hauensteintun;47.3906384291,7.85703552037
Rothrist GB;47.2951200428,7.85697992978
14 PU BUS-trans Ausserberg;46.3132212376,7.8501026458
Schilthornhütte (Kanonenrohr);46.5709870137,7.86487263808
Interlaken Ost;46.6905000322,7.86899999156
Rothrist;47.3064399547,7.8793899909
Rothrist Grüth;47.3107393341,7.88153734055
Rotenegg;46.6558475037,7.88031711232
Hauenstein Basistunnel HBT;47.4413291514,7.89080220339
Visp MGB-bvz;46.2937900065,7.88183000157
Trimbach Frohburg;47.3829138366,7.8924128177
Visp, DSM 51;46.3015542307,7.88550092568
Olten Borntunnel Ost;47.3251954564,7.8949253949
Bönigen Gleisende;46.6883800266,7.88956006487
Grütschalp;46.5965155644,7.89087366856
Gimmelwald (Talst. 2. Sekt.);46.54713663,7.89348656961
Wiggen;46.8998599967,7.90138003226
Wehr-Brennet;47.5809186384,7.91051899342
Rohrfluh;46.6030947345,7.91436956842
Olten Unterwerk;47.361520245,7.92245230821
Olten VL;47.3602299983,7.92245001165
Felskinn (Mast 4);46.0685987378,7.91531505859
32 PU Amstein Bus AG, E'secke;47.1832700973,7.93174771074
Escholzmatt;46.9153399977,7.93635998854
14 Garage Saas-Fee;46.1086624582,7.92981923098
Bad Säckingen;47.556595077,7.94973670565
Sk Mund, Roosse;46.3197693605,7.93943033605
Gamsen SBB;46.3038599819,7.94027005783
Wengernalp Wixi (Fallboden);46.5729207038,7.95019872838
Brittnau-Wikon West (Agl);47.2597061606,7.95857860939
Sk Gamsen, EnBAG;46.3074884304,7.96386234462
Grindelwald, Burglauenen;46.636555083,7.97740553829
Eiken;47.5330300387,7.98977999502
Sisseln;47.5456299579,7.99309001291
Niederfeld (Spw);47.5294400119,7.99530996606
Brig-Lötschberg (Abzw);46.3195600433,7.98415995583
Brig Contact Center SBB;46.3170260435,7.98489899705
Brig Contact Center Ausbild 1;46.3170260435,7.98489899705
Schönenwerd SO;47.3714200221,8.00016002649
Tankstelle Garage Brig;46.3183215828,7.99364751298
Brig Autoquai;46.3224648347,8.00037909582
14 Garage Simplon, Tunnel;46.3236295804,8.00449208368
Eppenberg;47.3818442179,8.01972067949
Schüpfheim;46.9506400098,8.01514001449
Menznau West;47.0906800204,8.02377997163
Wöschnau Tunnel;47.3879299881,8.03831995084
Grindelwald;46.6243600131,8.03331003135
Unterentfelden Oberdorf;47.3647299729,8.04202000579
Tankstelle Agrola Sörenberg;46.8193660345,8.03718438628
Menznau;47.083430027,8.0409299655
Schüpfheim, Howald;46.9498795681,8.03949149318
Hohfluh VS;46.3470800354,8.03308998259
Aarauer Stadttunnel;47.3898601552,8.04491807687
Grindelwald, Sunstar;46.62406768,8.04230503332
Hirschthal Nord;47.3234400018,8.05381004366
Tankstelle Garage Aarau;47.396201995,8.06196856879
22 PU Flück Reisen, Brienz;46.7480849672,8.06052591569
Laufenburg West;47.5661639275,8.07369293379
Doppleschwand-Romoos;47.0282500248,8.0676499587
32 PU Eurobus Häfliger, Trien;47.2394325475,8.07192145222
Suhr Nord (Abzw);47.3726044412,8.08068313673
Aarau/Suhr (Abzw);47.3726044412,8.08068313673
Suhr;47.371629993,8.08227996861
Brienzwiler West (Spw);46.7440299579,8.07915002298
Betten Talstation (direkt);46.3714107882,8.07700360441
Sursee (Abzw);47.1739681899,8.09568722989
Tankstelle Traveco;47.1760351357,8.1024362247
Sk Grengiols, Bahnhof;46.3757887215,8.09284454234
Geuensee;47.1953499797,8.10366000547
Sursee Wassermatte;47.1861099661,8.10973005808
Rupperswil-Auenstein Kraftwerk;47.4116622473,8.11476954959
Fiescheralp (Talst. Eggishorn);46.4130647769,8.10315457154
Unterkulm;47.310119958,8.11513002738
Fiesch;46.4031300229,8.13264003258
Schachen LU;47.0379599588,8.14325001213
Gontenschwil Ost;47.2824600039,8.14702999695
Schinznach Wallbach;47.4634249358,8.15662245305
Seon;47.3461399716,8.15878994513
Wildegg;47.4152699802,8.16300006743
Leibstadt;47.5932300218,8.16554995427
Villnachern (Spw);47.4751099595,8.16503004679
Lenzburg Industrie;47.3925838816,8.16390708696
14 PU Seiler Ernen;46.4067486648,8.15453538885
Hausach;48.2849281536,8.18166005469
Lenzburg Seetal;47.3906000346,8.17104001289
Niederlenz;47.4027766962,8.17639307131
28 PU Erne Mandach;47.5463542426,8.18497392223
Kaiserstuhl OW;46.8143599834,8.17551005774
22 PU Flück Reisen, Meiringen;46.7330688558,8.17880458568
Menziken;47.240919972,8.18930994957
Sempach-Neuenkirch;47.116049952,8.19596999891
Birrwil;47.2878400383,8.19899997665
Brugg AG West;47.4770899798,8.20408000963
Brugg AG Unterwerk;47.4749268873,8.20462863124
Hendschiken Unterwerk;47.39107759,8.20498666014
Birrfeld Auto;47.4507752192,8.21297985167
Koblenz Felsenau;47.6020726389,8.22025312463
22 PU Flück Reisen, Reuti;46.7323023305,8.20997722317
Triberg;48.1400019279,8.23679996882
Mosen;47.2442799766,8.2241499992
Ewil Maxon;46.8607200468,8.21866995104
28 PU IBU Untersiggenthal;47.5170112449,8.23805412273
Siggenthal-Würenlingen;47.5206899852,8.24065994297
Innertkirchen MIB;46.7022599718,8.23251001111
Ermensee;47.2296899605,8.24230003311
Villmergen Industrie;47.3593300178,8.24723993391
Gluringen;46.4627799763,8.23390999988
Villmergen, Bahnhof;47.3459156318,8.24713705832
Turgi;47.4917499766,8.25343996784
Döttingen;47.5752600021,8.25633995966
Villmergen Gleisende;47.3499900134,8.2533699706
Reckingen West;46.4653100336,8.24036000255
32 Garage Sarnen;46.9013428432,8.24931485304
Tankstelle Dillier-Wyrsch;46.8993753681,8.25004155391
Fräkmüntegg (3. Sekt. Talst.);46.990474821,8.25143582099
Varzo II;46.2072234168,8.2424872989
Gelfingen;47.2135499973,8.26481006513
Wohlen;47.3484599962,8.26977999385
Mellingen;47.4298099871,8.2737599791
Rothenburg Dorf;47.0909000169,8.27317997948
Sk Münster, Schulhaus;46.4874618941,8.26702649853
Emmenbrücke, Zentrum Gersag;47.0790046847,8.27825831191
Hübeli LU;47.084500014,8.27874999814
Cheselenfirst (Bettenalp);46.7935098673,8.27556663447
Emmenbrücke Unterwerk;47.0679175002,8.28503612858
Wohlen Sonnhalde;47.345092618,8.29030706266
Domo II;46.0763344093,8.27300589057
32 Garage Melchtal;46.8331809028,8.28787543329
32 PU DillierBus AG, Melchtal;46.8331788665,8.28788313497
Bettenalp (Talst. Bonistock);46.7890078635,8.2883059454
Hubelmatt Tunnel Portal Nord;47.0270683065,8.2923904637
28 PU Kuhn AG Buttwil;47.2666648521,8.29999584691
Luzern, Gütsch (Talstation);47.0520049209,8.29709119094
Gütsch (Abzw);47.0515999509,8.29708997491
Lauchringen West;47.6327660509,8.30796476836
Kreuzlibergtunnel;47.4698444503,8.30546242543
Luzern Heimbach;47.047565069,8.29896790908
Killwangen Kreuzlibergtunnel N;47.4650226209,8.30676333786
Preglia;46.1454499845,8.29282994078
Horw Süd (Spw);47.01288118,8.30692143988
Luzern;47.0501699943,8.31016999741
Luzern Cargo;47.047600023,8.31312004417
14 Garage Domodossola;46.1034729304,8.29991581097
St. Georgen;48.1288803544,8.33724719817
Rotsee (Verzw);47.0740600408,8.31996000462
Ulrichen Unterwerk;46.5014522579,8.31980673276
Killwangen-Spreitenbach Uwerk;47.4369533317,8.34394217344
32 Extern BE Zentralbahn Stan;46.9763266276,8.33664812259
Creggio;46.1234936057,8.32353627842
Stansstad Depot;46.9766875175,8.34010136819
Bremgarten;47.3514700345,8.34655996656
Killwangen Heitersbergtunnel O;47.4326029756,8.34813661372
Killwangen-Spreitenbach;47.4333300201,8.35418996078
Trontano;46.1226913647,8.33400252886
Oberwald;46.5308399805,8.34293994808
Berikon-Widen;47.3621800398,8.36679000586
Benzenschwil;47.2468399918,8.36559995839
Verigo;46.1217413949,8.35151679238
Spreitenbach Tivoli;47.4231932063,8.37423126951
Felsportal Furka Oberwald;46.5357199983,8.36066001103
Gletsch;46.5613061707,8.3614860414
Zürich RB Limmattal;47.4228400279,8.37730001431
RBL West;47.4228199894,8.37762993879
Root D4;47.1048499773,8.37379994371
32 PU Thepra AG, Stans-Rieden;46.9650723358,8.38367340015
Zürich RB Limmattal Depot/Bau;47.4149574684,8.3925195546
RBL A-Gruppe;47.4136499772,8.39635000771
Reppischhof;47.3847299842,8.39623005111
Otelfingen Industrie;47.4561027074,8.39820638736
Brunni;46.8311600195,8.38892996489
Gisikon-Root;47.1213200295,8.39477999536
Dietikon Schöneggstrasse;47.4019613452,8.40098814588
Niederrickenbach Station;46.9278300037,8.39618995241
Dietikon;47.4057700076,8.40496999801
Oberrüti;47.1659200359,8.40476997006
Rindertitlis (Stand);46.7896030943,8.40686181819
Coimo;46.1264766579,8.39882098248
Weiach-Kaiserstuhl;47.5636499615,8.42553001629
32 PU STANI, Oberrickenbach;46.8883969557,8.41724395304
Klettgau Landesgrenze;47.661890008,8.43175001749
Birmensdorf Industrie;47.3642300021,8.43164997993
Küssnacht am Rigi;47.0835900299,8.43349002733
Rotkreuz Unterwerk;47.1450991912,8.44054316824
Hedingen;47.2987799756,8.44595002322
Villingen (Schwarzw);48.0580212744,8.46526453062
Cham;47.1782400132,8.45747993999
Einfang (Abzw);47.3988299573,8.46255001934
Zweidlen;47.5704399614,8.46789005721
Immensee West (Abzw);47.093350045,8.46041005857
Cham Alpenblick;47.1822799688,8.47143992762
Zürich, Werdhölzli (Wds);47.3975793709,8.48205204115
Steinhausen;47.1945800109,8.47841996828
Zürich Altstetten Schnellgutbf;47.3924298808,8.4825340383
Niederhasli;47.4783299801,8.4886899968
Neunkirch;47.6891600003,8.49481004244
Zürich Altstetten Süd (Abzw);47.3907000026,8.49238996108
Zürich Herdern West Letzibach;47.3901822051,8.4933116849
UQB-Altstettertunnel;47.3900965376,8.49776051886
Zürich Hardbrücke West (Spw);47.3889999642,8.50366999754
Zürich, Heuried (Vzw);47.3693700369,8.50578291652
Zürich, Heuried (Wds);47.3693944484,8.50606145569
Zürich, Albisgüetli (Wds);47.3525100379,8.50806630349
Hüntwangen-Wil;47.5812599669,8.5128199396
Eglisau Unterwerk;47.5731334142,8.51410443116
Zürich Herdern Blockstelle;47.3867022755,8.5107789215
Borrweg;47.3643899856,8.51092995256
Zürich HB Cargo GV;47.3843885702,8.51442645858
Zürich, Hardplatz (Wds);47.3821310595,8.51579902334
Zürich Vorbahnhof;47.3844199997,8.51615997157
Felsportal Furka Realp;46.5933700335,8.50148006854
Arth Rütti;47.0593728929,8.51102661605
Zürich Binz;47.3626300134,8.51842004035
Höcklerbrücke;47.3438600291,8.51829002047
Zug;47.1736199933,8.51529998115
Zug Süd;47.1735299861,8.51568997291
Zürich Vorbahnhof Ost;47.3830000224,8.52056002544
Zürich Manegg;47.3383700243,8.51968002755
Zürich Cargo;47.3811500147,8.52076998969
Walchwil;47.0986799748,8.51693002376
Sood-Oberleimbach;47.3195700405,8.52143998459
Zürich Unterhaltsanlage DepotF;47.3818341529,8.52445435304
Zürich Stellwerk F;47.3818069239,8.52448028554
Zürich Wiedikon, Bf (Vzw Baum);47.3713907128,8.52446672007
Zürich Käferbergtunnel Mitte;47.4005368308,8.5252064856
Zürich Brunau;47.3521199955,8.52622997547
Arth Brennstuden;47.0632747236,8.52182085682
Zürich Zollstrasse Parkhaus;47.3815165763,8.52952016694
Rinderfluhtunnel;47.0528992403,8.52407265507
Zürich Selnau;47.372077182,8.53164274555
Zürich Enge, Bf (Vzw Nord);47.3646315708,8.53154450877
Zürich Enge, Bederstr. (Vzw);47.3652518656,8.53158370415
Zürich Zollstrasse;47.3811460313,8.53255858253
Zürich Letten;47.3872500022,8.53332004314
Bülach;47.5239399766,8.53619001767
Zürich Wollishofen;47.3474400344,8.53358999753
Zürich Sihlpost;47.3773324562,8.53536718482
Zürich HB SZU Süd (Spw);47.3765400283,8.535590036
Kalkofen Tunnel Süd;47.0752384371,8.52950242033
Zürich Oerlikon Süd (Abzw);47.4065999736,8.53688002052
Zürich Birchsteg (Abzw);47.4081000422,8.5378299822
Zürich HB Museumsbahnhof West;47.3792636794,8.53849254982
Litti (Baar);47.2089000402,8.53577995729
Zürich Altstetten Connex;47.3686517916,8.53918718907
Zürich Kohlendreieck;47.3686517916,8.53918718907
Zürich Wasserwerkstr 12 I-BU-O;47.383419562,8.54036626797
Zürich HB SZU Gleisende;47.376940042,8.54123994984
Zürich, Museumstrasse (Vzw);47.3785074476,8.54139036971
Zürich Oerlikon;47.411529959,8.54410994761
Nidelbad Süd (Abzw);47.3070400129,8.54432992827
Langnau-Gattikon;47.2868700058,8.54401996163
Albistunnel Südportal;47.2133070333,8.54335612763
Zürich, Opernhaus (Vzw);47.3659151919,8.54692888951
Tankanlage Rümlang;47.4366600336,8.54947003219
Zürich Stadelhofen FB;47.3663499996,8.54813004419
Zürich, Tramstrasse(Gleisende);47.4085957628,8.5498707244
Dock Midfield;47.461176298,8.55497431819
Zürich Riesbachtunnel Mitte;47.3623497387,8.55753852729
Zürich, Kirche Fluntern (Wds);47.3765776239,8.55965142345
Opfikontunnel II;47.430420597,8.56260109571
Zürich Tiefenbrunnen;47.3501199739,8.56136993651
Zürich Flughafentunnel Mitte;47.450162584,8.56373408541
Arth-Goldau Ost (Abzw);47.0486599739,8.55534005561
Dettenbergtunnel;47.5196149733,8.56711625085
Re;46.1265075075,8.53836380432
Thalwil;47.2959699567,8.56475003501
Zürich, Wetlistrasse;47.3601548885,8.56862590645
Wallisellen Belair (Vzw);47.4133543686,8.58449023917
Folsogno-Dissimo;46.134230728,8.55805977074
Altenburg-Rheinau;47.6635900197,8.59683001597
Steinerberg;47.0522000046,8.58526002194
42 IA Starnini Spruga;46.2003968718,8.56847516615
32 PU TSB AG, Seelisberg;46.9788347891,8.58675472167
Neuhausen Grenze Altenburg;47.6726179834,8.60291976093
Hagenholz (Abzw);47.4452399792,8.60051998558
Horgen Güterschuppen;47.2570662089,8.59690078716
Neugut (Abzw);47.4038299774,8.60343997177
